Press.bar,Temp.Â°C,Liquid v_f,Vapor v_g,Liquid u_f,Vapor u_g,Liquid h_f,Evap. h_fg,Vapor h_g,Liquid s_f,Vapor s_g
0.6,-37.07,0.0007097,0.31,3.41,206.12,3.46,221.27,224.72,0.0147,0.952
0.8,-31.21,0.0007184,0.2366,10.41,209.46,10.47,217.92,228.39,0.044,0.9447
1.0,-26.43,0.0007258,0.1917,16.22,212.18,16.29,215.06,231.35,0.0678,0.9395
1.2,-22.36,0.0007323,0.1614,21.23,214.5,21.32,212.54,233.86,0.0879,0.9354
1.4,-18.8,0.0007381,0.1395,25.66,216.52,25.77,210.27,236.04,0.1055,0.9322
1.6,-15.62,0.0007435,0.1229,29.66,218.32,29.78,208.19,237.97,0.1211,0.9295
1.8,-12.73,0.0007485,0.1098,33.31,219.94,33.45,206.26,239.71,0.1352,0.9273
2.0,-10.09,0.0007532,0.0993,36.69,221.43,36.84,204.46,241.3,0.1481,0.9253
2.4,-5.37,0.0007618000000000001,0.0834,42.77,224.07,42.95,201.14,244.09,0.171,0.9222
2.8,-1.23,0.0007697,0.0719,48.18,226.38,48.39,198.13,246.52,0.1911,0.9197
3.2,2.48,0.000777,0.0632,53.06,228.43,53.31,195.35,248.66,0.2089,0.9177
3.6,5.84,0.0007839,0.0564,57.54,230.28,57.82,192.76,250.58,0.2251,0.916
4.0,8.93,0.0007904,0.0509,61.69,231.97,62.0,190.32,252.32,0.2399,0.9145
5.0,15.74,0.0008056,0.0409,70.93,235.64,71.33,184.74,256.07,0.2723,0.9117
6.0,21.58,0.0008196,0.0341,78.99,238.74,79.48,179.71,259.19,0.2999,0.9097
7.0,26.72,0.0008328,0.0292,86.19,241.42,86.78,175.07,261.85,0.3242,0.908
8.0,31.33,0.0008454000000000001,0.0255,92.75,243.78,93.42,170.73,264.15,0.3459,0.9066
9.0,35.53,0.0008576,0.0226,98.79,245.88,99.56,166.62,266.18,0.3656,0.9054
10.0,39.39,0.0008695,0.0202,104.42,247.77,105.29,162.68,267.97,0.3838,0.9043
12.0,46.32,0.0008928,0.0166,114.69,251.03,115.76,155.23,270.99,0.4164,0.9023
14.0,52.43,0.0009159000000000001,0.014,123.98,253.74,125.26,148.14,273.4,0.4453,0.9003
16.0,57.92,0.0009392000000000001,0.0121,132.52,256.0,134.02,141.31,275.33,0.4714,0.8982
18.0,62.91,0.0009630999999999999,0.0105,140.49,257.88,142.22,134.6,276.83,0.4954,0.8959
20.0,67.49,0.0009878,0.0093,148.02,259.41,149.99,127.95,277.94,0.5178,0.8934
25.0,77.59,0.0010562,0.0069,165.48,261.84,168.12,111.06,279.17,0.5687,0.8854
30.0,86.22,0.0011416,0.0053,181.88,262.16,185.3,92.71,278.01,0.6156,0.8735
